ID,longitude,latitude,candidate
13,-97.44623983606985,32.67802097934816,trump
13,-97.45248237048449,32.67705085420177,trump
13,-97.43793736392723,32.668795393830564,trump
13,-97.4408002455982,32.68305637823585,trump
13,-97.4551496391422,32.659402991969316,trump
13,-97.45191071950414,32.68282571990499,trump
13,-97.45121556218359,32.66636846678616,trump
13,-97.43650898806325,32.67822814912212,trump
13,-97.45079867405484,32.664964985040065,trump
13,-97.4336458647064,32.67698640448379,trump
13,-97.45330211104275,32.66371623362125,trump
13,-97.44258165311217,32.67138542218391,trump
13,-97.442365676172,32.68091621706918,trump
13,-97.4318905942869,32.682883582444525,trump
13,-97.45009362480754,32.66803526618532,trump
13,-97.44330482086593,32.6806635139253,trump
13,-97.44828294850896,32.67990296171225,trump
13,-97.44082520312784,32.671886454803015,trump
